wd_source_id,ms_source_id,R_chance_align,wd_rv,wd_e_rv,wd_redchi,wd_rv_from,snr,ms_rv,ms_e_rv,ms_rv_from,ms_redchi,TeffH,e_TeffH,loggH,e_loggH,vgtheoretical,vgobs,e_vgobs,wd_plate,wd_mjd,wd_fiberid,paths
3089874656147104640,3089874754930361216,0.0001888782513256,64.59278110067629,15.419439597580125,1.996258427653984,sdss5,27.995227813720703,35.888162197289994,1.3868003168632193,sdss5,0.5094663085286788,22628.34,844.93,7.848182,0.063445,23.96043387707476,28.704618903386297,15.481677319408057,104379.0,59994.0,2.702159810147621e+16,sdss5/wd_fits/spSpec-104379-59994-27021598101476209.fits
3095950346947323776,3095950351244800640,0.0028580618019657,90.13988947619728,31.85985691993653,0.8403250853542162,sdss5,5.617547988891602,25.63191292476768,1.2882015576085912,sdss5,0.4928713103059481,8843.23,1181.03,7.993904,0.478869,29.40147344349931,64.5079765514296,31.885889453045728,104366.0,59902.0,2.702159810141915e+16,sdss5/wd_fits/spSpec-104366-59902-27021598101419150.fits
3096237560004700032,3096237564296664192,0.0004616462761816,18.637005743225984,35.65801064608295,0.8841196340967071,sdss5,7.549683094024658,28.946262553586404,1.4485340550119885,sdss5,0.4752527562966818,10681.62,1478.03,7.695709,0.493143,18.012178477177653,-10.30925681036042,35.68742039073004,104372.0,59958.0,2.702159810169985e+16,sdss5/wd_fits/spSpec-104372-59958-27021598101699846.fits
1477734110083441664,1478484737227019520,2.375552122533615e-05,16.94492243626334,14.971022756122574,0.9350547602908066,sdss4,20.452198028564453,-9.252556800842283,0.3297249674797058,gaia,0.0,10066.69,356.65,8.173068,0.092886,39.43445577657354,26.197479237105625,14.974653282080338,2125.0,53795.0,570.0,
1483533488459297920,1483533591540598016,2.6279332871127716e-05,-3.222142213667402,16.597843005431557,1.3347071227622758,sdss4,15.744379997253418,-13.665886878967283,0.4368616640567779,gaia,0.0,8824.28,1939.19,7.907479,0.733982,25.489854641002665,10.443744665299883,16.60359119427107,2931.0,54590.0,396.0,
1480124929399017600,1480124933695654656,1.3185812528460149e-05,-1.8500798641248977,18.29305148852656,0.7474814770687153,sdss5,17.804065704345703,-26.542598724365234,0.8788469433784485,gaia,0.0,11139.04,864.66,7.539613,0.190301,13.9037877284781,24.692518860240337,18.31415039557581,15305.0,59343.0,4603861693.0,sdss5/wd_fits/spSpec-015305-59343-4603861693.fits
1475565392117253632,1475571271928706816,3.175354555168897e-05,-3.257602945037649,23.628903263125693,1.0344939314278985,sdss4,10.895803451538086,-26.68002700805664,1.3570456504821775,gaia,0.0,10624.13,1683.93,8.307256,0.525361,48.79748784011943,23.42242406301899,23.66783983205152,3984.0,55333.0,68.0,
1475959330813942656,1475959532675932544,0.00106557862624,33.87361239368858,16.167165068977113,0.8057792974047847,sdss5,14.477407455444336,0.6980171203613281,0.3200353682041168,gaia,0.0,7120.12,288.77,7.918995,0.158123,25.854129471607767,33.175595273327254,16.170332371489934,15299.0,59293.0,4602955381.0,sdss5/wd_fits/spSpec-015299-59293-4602955381.fits
4438695868301221760,4438695906961143936,0.0007661203762116,14.60858242214246,38.18419770306383,0.7544055313787652,sdss5,5.44334888458252,-28.113582611083984,1.444097638130188,gaia,0.0,8681.65,857.58,8.285042,0.302337,47.02203642512955,42.722165033226446,38.21149528891952,102580.0,60061.0,2.7021598729690344e+16,sdss5/wd_fits/spSpec-102580-60061-27021598729690344.fits
4440676638498789248,4440676436634272640,0.0002683272151876,19.76440794449468,14.528952386952218,0.6230493217806233,sdss5,25.4910945892334,-12.845528602600098,0.247204303741455,gaia,0.0,14157.34,475.89,8.002936,0.058519,30.184589328284734,32.609936547094776,14.531055275860489,102566.0,60035.0,2.702159873054539e+16,sdss5/wd_fits/spSpec-102566-60035-27021598730545394.fits
4461228611063376128,4461978959028633088,8.27964134233316e-05,48.63897436176754,11.334785340545013,0.746418609404229,sdss4,34.699005126953125,38.98949813842773,0.6567833423614502,gaia,0.0,6906.94,77.85,8.017951,0.032747,30.44335794635959,9.649476223339803,11.353797737983427,2210.0,53535.0,323.0,
4462626296499680640,4462720132945480064,0.0001126980215301,-23.954139685778063,18.342807002077077,1.0691506089918563,sdss5,15.800397872924805,-29.433155059814453,0.4873302578926086,gaia,0.0,27952.34,2343.44,7.765986,0.162913,21.30599753270492,5.47901537403639,18.349279536148156,102634.0,60087.0,2.702159873943847e+16,sdss5/wd_fits/spSpec-102634-60087-27021598739438474.fits
4463569741899738496,4463569746195436288,0.0002779870727383,-65.8790404304927,42.68226002534973,0.6636940058658974,sdss5,7.429891109466553,-74.6717300415039,3.380864143371582,gaia,0.0,12609.9,4665.23,8.10919,0.469071,35.758768618608386,8.792689611011212,42.815949869499605,102623.0,60086.0,2.702159873903912e+16,sdss5/wd_fits/spSpec-102623-60086-27021598739039120.fits
6908407066861225728,6908406487039810432,0.7097163681287602,37.00116896926084,27.172329630416645,1.003264038214805,sdss4,8.008316040039062,-3.1402182579040527,0.2936382889747619,gaia,0.0,7900.09,377.51,8.052108,0.1682,32.291364978712714,40.14138722716489,27.173916187932324,634.0,52149.0,382.0,
6910805342238827648,6910806102448648576,1.2070258000760568e-06,11.94557338954936,12.194874666603042,4.078847593322053,sdss4,43.92036437988281,-15.587254524230955,5.826754570007324,gaia,0.0,21801.49,691.16,7.814119,0.051264,22.628767446591034,27.53282791378032,13.51539999235161,638.0,52081.0,481.0,
1586418811560728192,1586418811560728064,2.2426980022385486e-08,92.47690417748116,51.4118260930159,0.7957104875758743,sdss5,11.205337524414062,-26.53604507446289,0.3372642993927002,gaia,0.0,26580.29,10843.73,8.366602,0.646051,54.31033293556401,119.01294925194404,51.41293231693904,101560.0,60094.0,2.7021597909670344e+16,sdss5/wd_fits/spSpec-101560-60094-27021597909670342.fits
1596271943278474496,1596271947574042624,0.0007503748767968,81.36029402745571,43.63784732579999,1.006055447945024,sdss4,4.346268653869629,34.28306498486498,1.5230818844038154,sdss5,0.3652225084426554,7857.07,1044.44,7.851204,0.429075,23.12102430912467,47.07722904259073,43.66441912652026,794.0,52376.0,107.0,
