Name,SOURCE_ID,FileName
HE1152-1244,3574739561506431104,HE1152m1244_a_2000_04_22T02_04_15_all.dat.gz
HE1152-1244,3574739561506431104,HE1152m1244_b_2000_05_19T01_42_11_all.dat.gz
HE1215+0227,3701048502366477824,HE1215p0227_a_2000_07_12T23_03_58_all.dat.gz
HE1215+0227,3701048502366477824,HE1215p0227_b_2000_07_15T23_22_22_all.dat.gz
HE1225+0038,3696778892558087552,HE1225p0038_a_2000_04_22T02_43_49_all.dat.gz
HE1225+0038,3696778892558087552,HE1225p0038_b_2000_05_17T03_44_10_all.dat.gz
HE1225+0038,3696778892558087552,HE1225p0038_b_2000_07_04T23_27_41_all.dat.gz
HE1247-1130,3529574716212596736,HE1247m1130_a_2002_04_23T01_00_25_all.dat.gz
HE1247-1130,3529574716212596736,HE1247m1130_b_2002_04_29T05_08_05_all.dat.gz
HE1252-0202,3682458814461982592,HE1252m0202_a_2000_07_13T01_41_07_all.dat.gz
HE1252-0202,3682458814461982592,HE1252m0202_b_2000_07_16T00_05_53_all.dat.gz
HE1258+0123,3690323316193465344,HE1258p0123_a_2000_06_08T00_27_45_all.dat.gz
HE1258+0123,3690323316193465344,HE1258p0123_b_2000_07_02T02_25_08_all.dat.gz
HE1307-0059,3685854179383579136,HE1307m0059_a_2000_07_14T00_10_34_all.dat.gz
HE1307-0059,3685854179383579136,HE1307m0059_b_2000_07_17T00_23_29_all.dat.gz
HE1310-0337,3636072278607729920,HE1310m0337_a_2000_07_11T02_12_42_all.dat.gz
HE1310-0337,3636072278607729920,HE1310m0337_a_2000_07_11T02_25_02_all.dat.gz
HE1310-0337,3636072278607729920,HE1310m0337_b_2000_07_15T00_55_51_all.dat.gz
HE1315-1105,3623233040812235904,HE1315m1105_a_2000_04_23T01_30_26_all.dat.gz
HE1315-1105,3623233040812235904,HE1315m1105_b_2000_05_19T03_07_36_all.dat.gz
HE1325-0854,3629976620502866944,HE1325m0854_a_2000_05_20T00_32_05_all.dat.gz
HE1325-0854,3629976620502866944,HE1325m0854_b_2000_05_22T00_57_57_all.dat.gz
HE1326-0041,3638786388700921472,HE1326m0041_a_2000_07_13T01_55_46_all.dat.gz
HE1326-0041,3638786388700921472,HE1326m0041_b_2000_07_16T00_20_48_all.dat.gz
HE1328-0535,3631829778632099328,HE1328m0535_a_2000_07_13T02_11_55_all.dat.gz
HE1328-0535,3631829778632099328,HE1328m0535_b_2000_07_16T00_35_21_all.dat.gz
HE1335-0332,3634151534873010176,HE1335m0332_a_2000_07_15T01_09_38_all.dat.gz
HE1335-0332,3634151534873010176,HE1335m0332_b_2000_07_18T01_02_26_all.dat.gz
HE1340-0530,3632418223511334016,HE1340m0530_a_2000_07_16T01_33_19_all.dat.gz
HE1340-0530,3632418223511334016,HE1340m0530_b_2000_07_18T01_16_16_all.dat.gz
HE1413+0021,3653928313083020416,HE1413p0021_a_2000_07_13T02_56_57_all.dat.gz
HE1413+0021,3653928313083020416,HE1413p0021_b_2000_07_16T01_02_57_all.dat.gz
HE1429-0343,3642258577702062720,HE1429m0343_a_2000_07_14T01_45_16_all.dat.gz
HE1429-0343,3642258577702062720,HE1429m0343_b_2000_07_17T01_51_59_all.dat.gz
HE1441-0047,3650552739370519680,HE1441m0047_a_2000_07_13T03_52_38_all.dat.gz
HE1441-0047,3650552739370519680,HE1441m0047_b_2000_07_16T01_18_32_all.dat.gz
HE1511-0448,6335184655474717312,HE1511m0448_a_2000_06_01T06_05_53_all.dat.gz
HE1511-0448,6335184655474717312,HE1511m0448_b_2000_06_06T05_20_53_all.dat.gz
HE1511-0448,6335184655474717312,HE1511m0448_b_2000_06_06T05_36_55_all.dat.gz
HE1511-0448,6335184655474717312,HE1511m0448_c_2001_07_18T00_00_21_all.dat.gz
HE1511-0448,6335184655474717312,HE1511m0448_d_2001_06_18T02_47_40_all.dat.gz
HE1518-0020,4415725940820061824,HE1518m0020_a_2000_07_14T02_18_18_all.dat.gz
HE1518-0020,4415725940820061824,HE1518m0020_b_2000_07_18T03_27_43_all.dat.gz
HE1518-0344,4413820521529120640,HE1518m0344_a_2000_07_05T03_28_10_all.dat.gz
HE1518-0344,4413820521529120640,HE1518m0344_b_2000_07_06T03_17_55_all.dat.gz
HE1522-0410,4401558183740868480,HE1522m0410_a_2000_07_13T04_22_16_all.dat.gz
HE1522-0410,4401558183740868480,HE1522m0410_b_2000_07_18T03_56_00_all.dat.gz
HE1522-0410,4401558183740868480,HE1522m0410_b_2000_07_30T02_21_33_all.dat.gz
HE2133-1332,6842831888437047680,HE2133m1332_a_2001_09_20T01_26_51_all.dat.gz
HE2133-1332,6842831888437047680,HE2133m1332_b_2001_08_21T01_46_31_all.dat.gz
HE2135-4055,6578616598584224640,HE2135m4055_a_2000_05_17T09_41_48_all.dat.gz
HE2135-4055,6578616598584224640,HE2135m4055_b_2003_05_13T09_44_31_all.dat.gz
HE2140-1825,6836795672680406272,HE2140m1825_a_2001_06_18T09_10_41_all.dat.gz
HE2140-1825,6836795672680406272,HE2140m1825_b_2001_08_20T02_00_15_all.dat.gz
