Name,GaiaDR2,SPYTeff,SPYlogg,Rem,FileName,jul_date,obsname,SOURCE_ID,r_med_geo,GaiaEDR3,TeffH,e_TeffH,loggH,e_loggH
HE0219-4049,4951125156507440384,15373,7.89,,HE0219m4049_a_2002_09_05T09_22_14_all.dat.gz,2452522.89045079984,he0219m4049_a_2452522_89045079984,4951125156507440384,100.43753,4951125156507440384,15363.83,353.11,7.992572,0.033822
HE0219-4049,4951125156507440384,15373,7.89,,HE0219m4049_b_2001_09_13T08_37_20_all.dat.gz,2452165.85925929016,he0219m4049_b_2452165_85925929016,4951125156507440384,100.43753,4951125156507440384,15363.83,353.11,7.992572,0.033822
HE0219-4049,4951125156507440384,15373,7.89,,HE0219m4049_b_2001_09_19T09_10_32_all.dat.gz,2452171.88231567014,he0219m4049_b_2452171_88231567014,4951125156507440384,100.43753,4951125156507440384,15363.83,353.11,7.992572,0.033822
HE0221-0535,2488754366292015744,24747,7.95,,HE0221m0535_a_2002_09_19T08_01_11_all.dat.gz,2452536.83416415984,he0221m0535_a_2452536_83416415984,2488754366292015744,111.58485,2488754366292015744,22490.45,967.0,7.894831,0.061556
HE0221-0535,2488754366292015744,24747,7.95,,HE0221m0535_b_2002_09_20T05_57_30_all.dat.gz,2452537.74827129021,he0221m0535_b_2452537_74827129021,2488754366292015744,111.58485,2488754366292015744,22490.45,967.0,7.894831,0.061556
HE0221-2642,5118624311204821504,32008,7.72,,HE0221m2642_a_2001_09_23T09_10_22_all.dat.gz,2452175.88220603019,he0221m2642_a_2452175_88220603019,5118624311204821504,178.47781,5118624311204821504,32516.42,1562.86,7.864067,0.073806
HE0221-2642,5118624311204821504,32008,7.72,,HE0221m2642_b_2001_02_09T01_35_58_all.dat.gz,2451949.56665024022,he0221m2642_b_2451949_56665024022,5118624311204821504,178.47781,5118624311204821504,32516.42,1562.86,7.864067,0.073806
HE0222-2336,5120365044270095232,31816,7.87,,HE0222m2336_a_2002_09_20T06_12_49_all.dat.gz,2452537.75890323007,he0222m2336_a_2452537_75890323007,5120365044270095232,241.54655,5120365044270095232,31390.27,1914.06,7.930089,0.105395
HE0222-2336,5120365044270095232,31816,7.87,,HE0222m2336_b_2002_12_08T05_49_52_all.dat.gz,2452616.74297339004,he0222m2336_b_2452616_74297339004,5120365044270095232,241.54655,5120365044270095232,31390.27,1914.06,7.930089,0.105395
HE0222-2630,5118634309888681600,23198,7.91,,HE0222m2630_a_2002_07_10T09_23_27_all.dat.gz,2452465.8912900798,he0222m2630_a_2452465_8912900798,5118634309888681600,107.772575,5118634309888681600,23194.38,625.7,7.995115,0.038525
